panel,feature,raw_importance,plot_importance,scaled_importance,sd
lr,wetdry_status,4.848229501838232,4.848229501838232,1.0,
lr,Out-degree,3.1026640686111335,3.1026640686111335,0.6399581677052916,
lr,Slope,-2.533952318908345,2.533952318908345,0.522655191539011,
lr,aspect_se_pct,1.8347742901951276,1.8347742901951276,0.378442128100467,
lr,rhmin,1.6558065648785192,1.6558065648785192,0.34152809066705925,
lr,elev_min_cm,-1.5226374171389623,1.5226374171389623,0.3140605073587474,
lr,aspect_ne_pct,-1.446566772384467,1.446566772384467,0.29837011053952656,
lr,curv_mean,1.339204491492041,1.339204491492041,0.27622547385272794,
lr,slp_mean_pct,1.339204491492041,1.339204491492041,0.27622547385272794,
lr,elev_median_cm,-1.1408764934449387,1.1408764934449387,0.23531816986229082,
xgb,wetdry_status,0.9100229144096375,0.9100229144096375,1.0,
xgb,elev_min_cm,0.01690945215523243,0.01690945215523243,0.018581347540020943,
xgb,etalfalfa,0.012158389203250408,0.012158389203250408,0.013360531069338322,
xgb,TotDASqKm,0.007231033407151699,0.007231033407151699,0.007945990189909935,
xgb,Out-degree,0.006605599075555801,0.006605599075555801,0.0072587174363434315,
xgb,aspect_sw_pct,0.0059333727695047855,0.0059333727695047855,0.00652002589777112,
xgb,rhmin,0.005518012214452028,0.005518012214452028,0.006063596811145544,
xgb,tmin,0.005496777128428221,0.005496777128428221,0.006040262524038553,
xgb,MaxDepth_cm,0.004917472135275602,0.004917472135275602,0.005403679329901934,
xgb,AreaSqKm,0.004889641888439655,0.004889641888439655,0.005373097490519285,
lstm_hobo,wetdry_status,0.089677264834441,0.089677264834441,1.0,
lstm_hobo,aspect_ne_pct,0.0137416712512989,0.0137416712512989,0.1532347276276578,
lstm_hobo,Slope,0.0072655136073399,0.0072655136073399,0.08101845680455615,
lstm_hobo,aspect_se_pct,0.0058723833081397,0.0058723833081397,0.06548352382268892,
lstm_hobo,elev_max_cm,0.0025509969148593,0.0025509969148593,0.028446417490195098,
lstm_hobo,MaxDepth_Censor,0.0017021538083387,0.0017021538083387,0.018980884524981402,
lstm_hobo,elev_min_cm,0.0017021538083387,0.0017021538083387,0.018980884524981402,
lstm_hobo,Out-degree,0.0009026077045115,0.0009026077045115,0.010065067285201689,
lstm_hobo,aspect_nw_pct,0.0008518228085551,0.0008518228085551,0.009498759915656496,
lstm_hobo,curv_mean,0.0008518228085551,0.0008518228085551,0.009498759915656496,
lstm_all,wetdry_status,0.1054257588023769,0.1054257588023769,1.0,0.0087213120415838
lstm_all,aspect_ne_pct,0.0320703299358404,0.0320703299358404,0.30419823675120045,0.0030040732639503
lstm_all,Out-degree,0.0237776288039656,0.0237776288039656,0.22553908147379176,0.0018781883221295
lstm_all,rhmin,0.0207667650585384,0.0207667650585384,0.19697999136497749,0.0025043131623554
lstm_all,LengthKM,0.0109246334155764,0.0109246334155764,0.10362394864100419,0.0007035193769476
lstm_all,vp,0.0094730551964407,0.0094730551964407,0.08985522422654,0.001043753383603
lstm_all,prcp,0.0070565377922663,0.0070565377922663,0.06693371593837849,0.0015081875325316
lstm_all,rhmax,0.0067699304831772,0.0067699304831772,0.06421514590061046,0.0015309328217812
lstm_all,Slope,0.0066502834912969,0.0066502834912969,0.06308025255728077,0.0009005761215013
lstm_all,MaxDepth_cm,0.0056909296796573,0.0056909296796573,0.053980447893432607,0.0014555405765808
