seed,method,site,target_date,issue_date,observed_dry,p_dry
42,platt_rho98,55000900029021,2020-09-11,2020-09-08,0,0.006047221844128425
42,platt_rho98,55000900029021,2020-09-12,2020-09-09,0,0.00574573036979642
42,platt_rho98,55000900029021,2020-09-13,2020-09-10,0,0.005244600225204787
42,platt_rho98,55000900029021,2020-09-14,2020-09-11,0,0.004826049854077308
42,platt_rho98,55000900029021,2020-09-15,2020-09-12,0,0.004674929372451397
42,platt_rho98,55000900029021,2020-09-16,2020-09-13,0,0.0046738338087671805
42,platt_rho98,55000900029021,2020-09-17,2020-09-14,0,0.004529593348644001
42,platt_rho98,55000900029021,2020-09-18,2020-09-15,0,0.004510777412486067
42,platt_rho98,55000900029021,2020-09-19,2020-09-16,0,0.004586892721448188
42,platt_rho98,55000900029021,2020-09-20,2020-09-17,0,0.004509550185958333
42,platt_rho98,55000900029021,2020-09-21,2020-09-18,0,0.004843174305200537
42,platt_rho98,55000900029021,2020-09-22,2020-09-19,0,0.005082537936063503
42,platt_rho98,55000900029021,2020-09-23,2020-09-20,0,0.004965582766004228
42,platt_rho98,55000900029021,2020-09-24,2020-09-21,0,0.004720911164097452
42,platt_rho98,55000900029021,2020-09-25,2020-09-22,0,0.004595007713539934
42,platt_rho98,55000900029021,2020-09-26,2020-09-23,0,0.005221066314377021
42,platt_rho98,55000900029021,2020-09-27,2020-09-24,0,0.005394064615155791
42,platt_rho98,55000900029021,2020-09-28,2020-09-25,0,0.006665145016968244
42,platt_rho98,55000900029021,2020-09-29,2020-09-26,0,0.006026459793774697
42,platt_rho98,55000900029021,2020-09-30,2020-09-27,0,0.005470066577646926
42,platt_rho98,55000900029021,2020-10-01,2020-09-28,0,0.004857606312876905
42,platt_rho98,55000900029021,2020-10-02,2020-09-29,0,0.005354605253879985
42,platt_rho98,55000900029021,2020-10-03,2020-09-30,0,0.0051424651710004765
42,platt_rho98,55000900029021,2020-10-04,2020-10-01,0,0.004958133392153674
42,platt_rho98,55000900029021,2020-10-05,2020-10-02,0,0.004905038108885984
42,platt_rho98,55000900029021,2020-10-06,2020-10-03,0,0.004856191602747306
42,platt_rho98,55000900029021,2020-10-07,2020-10-04,0,0.004753519192042588
42,platt_rho98,55000900029021,2020-10-08,2020-10-05,0,0.005144694751326395
42,platt_rho98,55000900029021,2020-10-09,2020-10-06,0,0.005342083653052998
42,platt_rho98,55000900029021,2020-10-10,2020-10-07,0,0.004872811615286521
42,platt_rho98,55000900029021,2020-10-11,2020-10-08,0,0.004964740849402904
42,platt_rho98,55000900029021,2020-10-12,2020-10-09,0,0.005094015083088266
42,platt_rho98,55000900029021,2020-10-13,2020-10-10,0,0.007140339911976157
42,platt_rho98,55000900029021,2020-10-14,2020-10-11,0,0.007693966995931278
42,platt_rho98,55000900029021,2020-10-15,2020-10-12,0,0.006146720719516274
42,platt_rho98,55000900029021,2020-10-16,2020-10-13,0,0.007030132676840606
42,platt_rho98,55000900029021,2020-10-17,2020-10-14,0,0.006218806526262055
42,platt_rho98,55000900029021,2020-10-18,2020-10-15,0,0.00812356426505878
42,platt_rho98,55000900029021,2020-10-19,2020-10-16,0,0.006003042148181037
42,platt_rho98,55000900029021,2020-10-20,2020-10-17,0,0.005704572629500304
42,platt_rho98,55000900030173,2020-09-11,2020-09-08,0,0.006376147000734522
42,platt_rho98,55000900030173,2020-09-12,2020-09-09,0,0.005948671776398906
42,platt_rho98,55000900030173,2020-09-13,2020-09-10,0,0.005472682983867272
42,platt_rho98,55000900030173,2020-09-14,2020-09-11,0,0.004918501867742231
42,platt_rho98,55000900030173,2020-09-15,2020-09-12,0,0.004746021917082621
42,platt_rho98,55000900030173,2020-09-16,2020-09-13,0,0.004760555724598992
42,platt_rho98,55000900030173,2020-09-17,2020-09-14,0,0.004585480915435647
42,platt_rho98,55000900030173,2020-09-18,2020-09-15,0,0.004421970874062597
42,platt_rho98,55000900030173,2020-09-19,2020-09-16,0,0.004486789365637844
42,platt_rho98,55000900030173,2020-09-20,2020-09-17,0,0.004367469508645083
42,platt_rho98,55000900030173,2020-09-21,2020-09-18,0,0.004595630422885688
42,platt_rho98,55000900030173,2020-09-22,2020-09-19,0,0.0046049252281208375
42,platt_rho98,55000900030173,2020-09-23,2020-09-20,0,0.004740258223595695
42,platt_rho98,55000900030173,2020-09-24,2020-09-21,0,0.004486212472388229
42,platt_rho98,55000900030173,2020-09-25,2020-09-22,0,0.004484346508046411
42,platt_rho98,55000900030173,2020-09-26,2020-09-23,0,0.006364161356180786
42,platt_rho98,55000900030173,2020-09-27,2020-09-24,0,0.005247298373195486
42,platt_rho98,55000900030173,2020-09-28,2020-09-25,0,0.007229542738983907
42,platt_rho98,55000900030173,2020-09-29,2020-09-26,0,0.00555562649558472
